created_at,text
2021-03-05 03:23:39,"b'""#FDR (#FuckDaRich): Pain &amp; Pleasure Healing"" #sapiosexual #radio #podcast now on @Academia\xf0\x9f\x8e\x93Learn the #secrets of\xe2\x80\xa6 https://t.co/QnShdQlOny'"
2021-03-05 03:23:30,b'I was able to schedule my Covid appointment on the day before my birthday. How nice will it be #COVID19 #CovidVaccine'
2021-03-05 03:22:57,b'RT @divyavaibhav64: List of #COVID 19 Private Hospital where #CovidVaccine can be taken by Sr. Citizens &amp; 45 to 59 years with Co-morbiditie\xe2\x80\xa6'
2021-03-05 03:22:55,b'My mom got her COVID19 todayshot !!!! So grateful. #immunized #CovidVaccine'
2021-03-05 03:22:41,"b""Well, I'm just a basket of interesting...I'm getting the infamous Moderna arm rash. I'm a wee bit itchy in several\xe2\x80\xa6 https://t.co/51kSk8tKSX"""
2021-03-05 03:22:37,"b""\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 #CovidVaccine #vaccine  Check out cozywitthecurls's video! #TikTok https://t.co/CCTbCsdF4W"""
2021-03-05 03:21:59,b'RT @susanlmarquis: Get the shot. Whichever you can get soonest. Get the shot. #CovidVaccine'
2021-03-05 03:21:47,b'RT @GovCanHealth: Curious about what\xe2\x80\x99s in the #COVID19 vaccines? Learn more about the ingredients and the vaccines available in Canada here\xe2\x80\xa6'
2021-03-05 03:21:12,b'RT @nilikm: @ColinDMello Recalibrated? Imminent? Tell that to my patients who are 89 and waiting to know why I can\xe2\x80\x99t administer the #CovidV\xe2\x80\xa6'
2021-03-05 03:20:17,b'RT @jurygroup: Should Italy and theEU block Oxford-AstraZeneca vaccine shipment to Australia? #CovidVaccine https://t.co/OKiciR5lnh'
2021-03-05 03:19:52,b'@PayPal You are a company of fraud! How many people like me did you trap to pay for vaccines and to appear as angel\xe2\x80\xa6 https://t.co/WljfjRoYds'
2021-03-05 03:19:31,b'Anyone else too? \xf0\x9f\x98\xac\xf0\x9f\x98\xb7 #CovidVaccine https://t.co/wTqAMsSyyj'
2021-03-05 03:19:00,"b""RT @DaveDeGraceMD: Let's rephrase it... Thankful to work somewhere with organized leadership. List created, mobilizing to contact 400+ seni\xe2\x80\xa6"""
2021-03-05 03:18:47,b'Who\xe2\x80\x99ll answer on this? @Ganjam_Admin @HFWOdisha @MoSarkar5T @SecyChief @CMO_Odisha @nabadasjsg @Naveen_Odisha\xe2\x80\xa6 https://t.co/vNSujb0qJf'
2021-03-05 03:18:30,"b'Finished my #CovidVaccine series, props to @moderna_tx for getting a vaccine out ASAP'"
2021-03-05 03:18:18,b'Congress when the Covid19 Vaccine was First Available\n\n#GOPCorruptionOverCountry \n#COVID19 #CovidVaccine https://t.co/gyAzmC1bQo'
2021-03-05 03:18:18,"b'RT @MoHFW_INDIA: #LargestVaccineDrive #Unite2FightCorona\n\nShri Gregory Thejawelie, Deputy Commissioner, Kohima, Nagaland recieves the #Firs\xe2\x80\xa6'"
2021-03-05 03:17:58,b'@abcmelbourne For those who trust for profit drug companies  #COVID19Vic #CovidVaccine'
2021-03-05 03:17:57,b'RT @WADeptHealth: The #COVIDvaccine will be available to more people in the coming weeks. Go to https://t.co/gv9p4vEZ8H to get notified whe\xe2\x80\xa6'
2021-03-05 03:17:48,b'RT @prasadhemant: Zimbabwe first in Africa to OK India\xe2\x80\x99s #CovidVaccine #Covaxin https://t.co/3DZIE4DvIt'
2021-03-05 03:17:30,b'RT @dr_seminnis: I get #CovidVaccine 1 in 13 hours! #GetVaccinated https://t.co/5tjp1E4iPN'
2021-03-05 03:17:22,b'Zimbabwe first in Africa to OK India\xe2\x80\x99s #CovidVaccine #Covaxin https://t.co/3DZIE4DvIt'
2021-03-05 03:17:04,"b'RT @manojsinha_: Today received First Dose of #COVIDVaccine at Government Medical College Hospital, Jammu. My appeal to all eligible person\xe2\x80\xa6'"
2021-03-05 03:16:21,b'#India achieved yet another notable milestone by administering more than 10 LAKH (one million) #CovidVaccine doses\xe2\x80\xa6 https://t.co/GdZRrWKtEb'
2021-03-05 03:16:00,b'Happy Friday everyone! How are you today? \n\nMake sure you get the latest and correct update regarding Covid-19 from\xe2\x80\xa6 https://t.co/uTyarIfJ1m'
2021-03-05 03:13:53,"b'RT @RepEspaillat: The pandemic has hit communities of color the hardest, yet they remain extremely vulnerable due to the lack of transparen\xe2\x80\xa6'"
2021-03-05 03:13:44,b'RT @aartic02: Has PM Modi got his Old Mother Vaccinated for #COVID19 \xf0\x9f\xa4\x94 \nNo Pics around means - may be Not coz Modi ji never meets her witho\xe2\x80\xa6'
2021-03-05 03:13:40,"b'RT @manojsinha_: Today received First Dose of #COVIDVaccine at Government Medical College Hospital, Jammu. My appeal to all eligible person\xe2\x80\xa6'"
2021-03-05 03:12:56,b'\xf0\x9f\x92\xa9  \xf0\x9f\x92\xa9  \xf0\x9f\x92\xa9\n\nNow I read that you should NOT drink alcohol the night before you get your #COVIDVaccine \n\n\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\nOh well!\xe2\x80\xa6 https://t.co/xXG7w46ckj'
2021-03-05 03:12:40,"b""RT @DyjuanTatro: Join public health experts\xe2\x80\x94@BPIBard alumnus @HancyMaxis '15, BPI Senior Advisor in Public Health Dr. Robert Fullilove @ref\xe2\x80\xa6"""
2021-03-05 03:12:20,"b""RT @AIGHospitals: We are delighted and extremely thankful to have Superstar @urstrulyMahesh Mahesh Babu's support for the AIG #EndCorona Ca\xe2\x80\xa6"""
2021-03-05 03:12:01,"b'RT @Sunil_Deodhar: Leading from front, PM @narendramodi took his first dose of #CovidVaccine\n\xf0\x9f\x91\x89 At AIIMS, like a common man\n\xf0\x9f\x91\x8cWhen his turn c\xe2\x80\xa6'"
2021-03-05 03:11:30,b'RT @mencap_charity: People with a #LearningDisability can ask \xf0\x9f\x91\x8b for extra support when they are having their \xf0\x9f\x92\x89#CovidVaccine.\n\nThis support\xe2\x80\xa6'
2021-03-05 03:11:00,"b'Some experience delayed rashes after #Moderna #CovidVaccine, report says\nhttps://t.co/HiCUUBmdKK'"
2021-03-05 03:10:59,"b'@the_arun_murthy @WeAreDCPH \n100,000 today! \nThank you for participating in the best run #CovidVaccine operation in\xe2\x80\xa6 https://t.co/IUujR8wWoR'"
2021-03-05 03:10:05,b'RT @UHN: Pre-registration for the #CovidVaccine is now open for eligible patients aged 80+.\n\nEligibility criteria and to register \xe2\x86\x92 https:/\xe2\x80\xa6'
2021-03-05 03:09:31,b'#CA @GavinNewsom #Shame on your #CovidVaccine handling. They just #Canceled our 2nd #Vaccine #appointment\xe2\x80\xa6 https://t.co/QylLwiAN35'
2021-03-05 03:08:33,"b'RT @hugh_overend: How entirely conflicting views SHOULD be expressed on @Twitter...\n\n""So what I am telling you is true...""\n\n#COVID19 #Covid\xe2\x80\xa6'"
2021-03-05 03:08:30,b'I\xe2\x80\x99d like to see daily discard counts at #mapoli #CovidVaccine sites. Why isn\xe2\x80\x99t the for profit media covering this?\xe2\x80\xa6 https://t.co/0etqSlpGj1'
2021-03-05 03:08:29,b'RT @AEHarshada: Reliance Foundation says will Vaccinate all RIL employees and their family members\n\n#CovidVaccine \n\n@CNBC_Awaaz'
2021-03-05 03:08:28,b'RT @burchamdvm: COVID vaccine #2 complete!\n#CovidVaccine https://t.co/7WSmtzELUN'
2021-03-05 03:07:26,b'Very happy that a lot of my friends families are getting the covid vaccine already. #CovidVaccine'
2021-03-05 03:07:18,"b'I am finally eligible for the #CovidVaccine yet, I cannot make an appointment (required) ANYWHERE in the state of\xe2\x80\xa6 https://t.co/ge4UPqK7US'"
2021-03-05 03:07:16,b'Great information!\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbdBlack and Brown Americans\n#VaccinationMatters #CovidVaccine \n\n@blackingastro \n#BetweenUsAboutUs https://t.co/1wv1eRrjoY'
2021-03-05 03:07:13,"b'RT @staceyhopkinsga: ""With 900,000-plus\xc2\xa0doses on hand, the issue is NOT a lack of supply and that excuse is simply that \xe2\x80\x94\xc2\xa0an excuse for poo\xe2\x80\xa6'"
2021-03-05 03:06:57,b'RT @burchamdvm: COVID vaccine #2 complete!\n#CovidVaccine https://t.co/7WSmtzELUN'
2021-03-05 03:06:39,"b'How entirely conflicting views SHOULD be expressed on @Twitter...\n\n""So what I am telling you is true...""\n\n#COVID19\xe2\x80\xa6 https://t.co/scX3ZyV5hu'"
2021-03-05 03:06:26,"b'RT @MoodyBluesv2: #Fauci ""I have no symptoms, there\'s not reason for me to take a test"".\nWell well well! #Covid19UK #coronavirusuk #coronav\xe2\x80\xa6'"
2021-03-05 03:06:07,"b'@SunnyDfan4eva @meganmesserly @NVHealthLink @NVHealthRespon1 When you are around other, outside your family you nee\xe2\x80\xa6 https://t.co/kh2LaXC1cx'"
2021-03-05 03:06:04,"b'RT @staceyhopkinsga: ""With 900,000-plus\xc2\xa0doses on hand, the issue is NOT a lack of supply and that excuse is simply that \xe2\x80\x94\xc2\xa0an excuse for poo\xe2\x80\xa6'"
2021-03-05 03:05:36,b'Deleted and reposted. I forgot to cover my full name. \n\nI finally got my #CovidVaccine! https://t.co/NUUfTfMFpU'
2021-03-05 03:04:44,b'RT @aartic02: Has PM Modi got his Old Mother Vaccinated for #COVID19 \xf0\x9f\xa4\x94 \nNo Pics around means - may be Not coz Modi ji never meets her witho\xe2\x80\xa6'
2021-03-05 03:04:37,b'RT @LordJangyang: https://t.co/fss1JsLcTd @ImLiveRT Going live soon #SupportSmallStreamers #twitchstreamer #CovidVaccine'
2021-03-05 03:04:28,"b""RT @DrAliSKhan: The #COVIDvaccine Wars begin. Italy (60M pop'n) blocks AstraZeneca from exporting vaccine to Australia (pop'n 25M).\nhttps:/\xe2\x80\xa6"""
2021-03-05 03:04:23,b'@ConnConnection @RealRyanJKaz @pop_popculture @SirAdamThompson @mauldin_laura @alissamarieek @SabrinaTessEp\xe2\x80\xa6 https://t.co/7EYfVxAoi9'
2021-03-05 03:03:48,b'RT @LordJangyang: https://t.co/fss1JsLcTd @ImLiveRT Going live soon #SupportSmallStreamers #twitchstreamer #CovidVaccine'
2021-03-05 03:03:39,b'RT @UnmeshDr: #CovidVaccine awareness talk given by me to #senior #citizens  #Vaccineconfidence @naveenthacker https://t.co/0TmiInP3C8  \n@P\xe2\x80\xa6'
2021-03-05 03:03:26,b'Feeling grateful for the #CovidVaccine not only for protecting my father when he takes care of covid patients but a\xe2\x80\xa6 https://t.co/rmrU34CiJZ'
2021-03-05 03:02:14,"b'Canada thanks India for sending 500,000 doses of COVID-19 vaccines.\nhttps://t.co/EgY5BbEI9O\n#COVID19 #COVID19Vaccine #CovidVaccine #COVID'"
2021-03-05 03:02:07,b'RT @aartic02: Has PM Modi got his Old Mother Vaccinated for #COVID19 \xf0\x9f\xa4\x94 \nNo Pics around means - may be Not coz Modi ji never meets her witho\xe2\x80\xa6'
2021-03-05 03:01:56,b'RT @RasmusAndresen: According to @TBIJ the pharmaceutical company @pfizer had asked latin american governments to put sovereign assets (pub\xe2\x80\xa6'
2021-03-05 03:01:51,b'RT @ShannonForTrump: Bill Gates Admits Vaccines Are Used for Human Depopulation https://t.co/XNmOBNlabs via @YouTube #CovidVaccine'
2021-03-05 03:01:48,b'@ConnConnection @RealRyanJKaz @pop_popculture @SirAdamThompson @mauldin_laura @alissamarieek @SabrinaTessEp\xe2\x80\xa6 https://t.co/BOKfwJEJoX'
2021-03-05 03:01:43,b'#CovidVaccine But it might take longer to get our packages! https://t.co/6HsCqwCrxN'
2021-03-05 03:01:23,b'RT @aartic02: Has PM Modi got his Old Mother Vaccinated for #COVID19 \xf0\x9f\xa4\x94 \nNo Pics around means - may be Not coz Modi ji never meets her witho\xe2\x80\xa6'
2021-03-05 03:01:21,b'RT @aartic02: Has PM Modi got his Old Mother Vaccinated for #COVID19 \xf0\x9f\xa4\x94 \nNo Pics around means - may be Not coz Modi ji never meets her witho\xe2\x80\xa6'
2021-03-05 03:01:18,b'Which #CovidVaccine did you get?'
2021-03-05 03:01:02,b'got my 2nd #covidvaccine today! only now arm is starting to get sore &amp; heavy. hope no systemic side effects tomorrow! \xf0\x9f\xa4\x9e'
2021-03-05 03:00:55,b'RT @WADeptHealth: The #COVIDvaccine will be available to more people in the coming weeks. Go to https://t.co/gv9p4vEZ8H to get notified whe\xe2\x80\xa6'
2021-03-05 03:00:48,"b'RT @_Sivasai: #COVID #deaths high in countries with more #overweight #people, says #Report \n\n#DHPSP #CovidDeaths #Overweight #Science #scic\xe2\x80\xa6'"
2021-03-05 03:00:35,b'RT @babbarmohit: Reliance Foundation says will Vaccinate all Reliance employees and their family members.@reliancejio\n@reliancegroup\n#Covid\xe2\x80\xa6'
2021-03-05 03:00:25,b'RT @AllergyKidsDoc: Great group of allergists leading the way on reporting delayed onset reactions to #CovidVaccine - CAN give again withou\xe2\x80\xa6'
2021-03-05 03:00:15,b'COVID vaccine #2 complete!\n#CovidVaccine https://t.co/7WSmtzELUN'
2021-03-05 02:59:43,b'RT @JnKFact: J&amp;K LG Manoj Sinha gets first COVID-19 vaccine shot\n\nFor More Read : \nhttps://t.co/BhyrAO7F4u\n@manojsinha_ #CovidVaccine https\xe2\x80\xa6'
2021-03-05 02:59:29,b'@ConnConnection @RealRyanJKaz @pop_popculture @SirAdamThompson @mauldin_laura @alissamarieek @SabrinaTessEp\xe2\x80\xa6 https://t.co/5BH7yTET3k'
2021-03-05 02:58:59,"b'RT @mpvadodara: Got Vaccinated against Covid-19 today at Urban Health Centre, ChanakyaPuri. Let\xe2\x80\x99s stay safe. Join the world\xe2\x80\x99s biggest vacci\xe2\x80\xa6'"
2021-03-05 02:58:58,"b'RT @JnKFact: Jammu and Kashmir Lieutenant Governor, Manoj Sinha on Thursday received the first dose of COVID-19 vaccine at Government Medic\xe2\x80\xa6'"
2021-03-05 02:57:39,b'RT @StevieC19340592: #TrudeauMustGo\n#TrudeauworstPMever\n#WEScandal \n#TrudeauCorruption \n#Trudeau\n\nA growing number of Canadians believe #Tr\xe2\x80\xa6'
2021-03-05 02:57:10,b'ATTENTION #FLORIDA \n\n#teachers #educators #CovidVaccine\n\nhttps://t.co/ne3Prcy0ky'
2021-03-05 02:57:00,b'#TrudeauMustGo\n#TrudeauworstPMever\n#WEScandal \n#TrudeauCorruption \n#Trudeau\n\nA growing number of Canadians believe\xe2\x80\xa6 https://t.co/udikipwtzE'
2021-03-05 02:55:39,b'RT @IpsShweta: Got vaccinated against Covid-19 today at #Phoenixhospital Delhi. Let\xe2\x80\x99s stay safe. Join the world\xe2\x80\x99s biggest vaccination drive\xe2\x80\xa6'
2021-03-05 02:55:14,b'After months of trying to get a #covidvaccine #covid appointment... https://t.co/BizeWq6804 via @wordpressdotcom'
2021-03-05 02:55:07,b'RT @Vaxyourfam: \xe2\x80\x9cAn Uncertain Public\xe2\x80\x94Encouraging Acceptance of COVID-19 Vaccines\xe2\x80\x9d - via @NEJM - https://t.co/az1flaWwS7\n--\n#COVID19 #covidv\xe2\x80\xa6'
2021-03-05 02:54:39,b'Celebrating day 2 of #CovidVaccine \xf0\x9f\x92\x89#1 ! Feeling good and safer - Pfizer is treating me well! #getvaccinated #Texas\xe2\x80\xa6 https://t.co/RnLy1WpUjl'
2021-03-05 02:54:37,"b'RT @RadioBulbul: #Radiobulbul team visit to #vaccine  center at kouns ,Bhadrak #CovidVaccine @CRAIndiaLive @UNICEFIndia @ShahAnsariLive @ni\xe2\x80\xa6'"
2021-03-05 02:54:26,b'First round of vaccine scheduled for the 11th!!! #CovidVaccine #COVID19Vaccine #vaccinated https://t.co/lrZsqc5h3F'
2021-03-05 02:54:10,b'One step closer for SputnikV to be approved for the use in #EuropeanUnion. #EU began a process of the review of\xe2\x80\xa6 https://t.co/IkmwTODoLn'
2021-03-05 02:54:01,"b'RT @barandbench: Why restricted COVID-19 vaccination in India when vaccines are being donated, sold to foreign countries: Delhi High Court\xe2\x80\xa6'"
2021-03-05 02:53:52,"b'RT @staceyhopkinsga: ""With 900,000-plus\xc2\xa0doses on hand, the issue is NOT a lack of supply and that excuse is simply that \xe2\x80\x94\xc2\xa0an excuse for poo\xe2\x80\xa6'"
2021-03-05 02:53:28,"b'@IngrahamAngle said it best ""Just ignore @POTUS and #DrFauci on #COVID19"".Because real experts say #PresidentBiden\xe2\x80\xa6 https://t.co/m9IzCoh26A'"
2021-03-05 02:53:27,"b""RT @anagin40: @erinotoole Mr. O'Toole, why do you keep lying &amp; engaging in misinfo on the #CovidVaccine rollout in Canada? Multiple journal\xe2\x80\xa6"""
2021-03-05 02:52:53,b'Pakistani doctors on the frontline of #covid19 #Live on #Facebook: @amwecofficial right now are discussing the\xe2\x80\xa6 https://t.co/NcFqsYfjrx'
2021-03-05 02:52:50,b'RT @UHN: Pre-registration for the #CovidVaccine is now open for eligible patients aged 80+.\n\nEligibility criteria and to register \xe2\x86\x92 https:/\xe2\x80\xa6'
2021-03-05 02:52:35,b'I told my 12 year old son that I am scheduled for my first #CovidVaccine on Monday. (I work at an in person public\xe2\x80\xa6 https://t.co/9lWPs6k7bO'
2021-03-05 02:52:08,b'RT @AEHarshada: Reliance Foundation says will Vaccinate all RIL employees and their family members\n\n#CovidVaccine \n\n@CNBC_Awaaz'
2021-03-05 02:51:53,b'RT @GovCanHealth: Curious about what\xe2\x80\x99s in the #COVID19 vaccines? Learn more about the ingredients and the vaccines available in Canada here\xe2\x80\xa6'
2021-03-05 02:51:33,"b'RT @afhto: Although information about the #COVIDVaccine rollout remains uncertain, there are 4 things #PrimaryCare can do: educate, communi\xe2\x80\xa6'"
2021-03-05 02:51:19,"b'RT @THE_Russell: Morrison\'s favourite kidney doctor who has no qualifications nor experience in epidemiology, lectures us on how good the ""\xe2\x80\xa6'"
2021-03-05 02:51:14,b'RT @CarissaAlex: #Mommy &amp; #Daughter #SunFlower \xf0\x9f\x8c\xbb\xf0\x9f\x8c\xbc\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xbc #FaceMasks \xf0\x9f\x8c\xb8\xe2\x9c\xa8 DM Me To Place All Custom Orders \xf0\x9f\x92\x96 Thanks for the continued #support \xf0\x9f\xa5\xb0\xf0\x9f\x98\x98 #\xe2\x80\xa6'
2021-03-05 02:51:07,"b""HEAR ABOUT ISRAEL'S NEW COVID APARTHEID!\n\nListen to a very frightened citizen of Israel\nas she explains the draconi\xe2\x80\xa6 https://t.co/KBl1WPLY07"""
2021-03-05 02:50:47,b'RT @ToledoLucasHD: Phase 1C &amp; Phase 2 are now eligible to receive the #CovidVaccine. Additional details below \xf0\x9f\x91\x87 Visit: https://t.co/E79yvSf\xe2\x80\xa6'
2021-03-05 02:50:33,"b'A little tired still, my throat hurt mildly about 30 minutes after the 2nd shot but seems fine after a nap...\n\nTomo\xe2\x80\xa6 https://t.co/UvuK0sE7Zr'"
2021-03-05 02:50:31,"b""RT @MEFoggyDog: A pet hate of mine is when M.E is only described as 'extreme fatigue'.\n\nAs it was in this interview.\n\n3ish minutes in. Lunc\xe2\x80\xa6"""
2021-03-05 02:50:26,b'MECU King Air at the ready. \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe #CovidVaccine https://t.co/aDVrVdSX1U'
2021-03-05 02:50:23,"b'RT @staceyhopkinsga: ""With 900,000-plus\xc2\xa0doses on hand, the issue is NOT a lack of supply and that excuse is simply that \xe2\x80\x94\xc2\xa0an excuse for poo\xe2\x80\xa6'"
2021-03-05 02:50:22,b'@ConnConnection @RealRyanJKaz @pop_popculture @SirAdamThompson @mauldin_laura @alissamarieek @SabrinaTessEp\xe2\x80\xa6 https://t.co/0HQrkUzsyS'
2021-03-05 02:50:20,"b'RT @eltonofficial: I am proud to join forces with @themichaelcaine to promote the fantastic @NHSEngland #COVIDVaccine program, demonstratin\xe2\x80\xa6'"
2021-03-05 02:50:01,b'\xe2\x80\x9cAn Uncertain Public\xe2\x80\x94Encouraging Acceptance of COVID-19 Vaccines\xe2\x80\x9d - via @NEJM - https://t.co/az1flaWwS7\n--\n#COVID19\xe2\x80\xa6 https://t.co/bUeLXQ0VV3'
2021-03-05 02:49:25,b'RT @AEHarshada: Reliance Foundation says will Vaccinate all RIL employees and their family members\n\n#CovidVaccine \n\n@CNBC_Awaaz'
2021-03-05 02:49:17,"b'RT @staceyhopkinsga: ""With 900,000-plus\xc2\xa0doses on hand, the issue is NOT a lack of supply and that excuse is simply that \xe2\x80\x94\xc2\xa0an excuse for poo\xe2\x80\xa6'"
2021-03-05 02:49:05,b'RT @Kartopia: Thank you Dr.@PeterHotez for this very informative conversation on the origins of vaccine disinformation and informing us abo\xe2\x80\xa6'
2021-03-05 02:48:54,b'RT @Dr_RShatsky: #bcsm Had a pt. misinterpret a recent news story today so I realized I want to clear up this up to all who will listen. A\xe2\x80\xa6'
2021-03-05 02:48:53,"b'RT @staceyhopkinsga: ""With 900,000-plus\xc2\xa0doses on hand, the issue is NOT a lack of supply and that excuse is simply that \xe2\x80\x94\xc2\xa0an excuse for poo\xe2\x80\xa6'"
2021-03-05 02:48:26,b'RT @doccrearperry: It\xe2\x80\x99s Me and the brilliant Dr @RheaBoydMD @hari @KFF #BetweenUsAboutUs \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9#Blaccinated \xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x98\xb7\xf0\x9f\x98\xb7\xf0\x9f\x98\xb7#CovidVaccine'
2021-03-05 02:47:53,"b""@Walgreens why do you not want to let people help the elderly who aren't tech savvy sign up for appts? Every other\xe2\x80\xa6 https://t.co/h9fXq2klbc"""
2021-03-05 02:47:34,b'Beautiful story! How a Holocaust Survivor Showed Up for a Vaccine and Charmed a Hospital #DemCast #CovidVaccine\xe2\x80\xa6 https://t.co/SPXHkyvj9N'
