,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
839,thekhybermail,Your source for alternate news from around the world,,66,24,192,0,"#thekhybermail #news #Newspaper #NewsPicks #COVID19 #passport #Travel #COVID19Vaccine 
https://t.co/TULMXXnTJg

Ticket to ride: Vaccine passports divide world https://t.co/ISCsES7aio","['thekhybermail', 'news', 'Newspaper', 'NewsPicks', 'COVID19', 'passport', 'Travel', 'COVID19Vaccine']",2021-02-26 17:30:03
840,MirrorReview1,"Mirror Review is a Media Company that covers stories of entrepreneurs around the world!
Follow Us on Google News https://t.co/5lSvRNuTVf","Pune, India",34,4334,5011,0,"Two teams of researchers have claimed that the newly encountered #coronavirus variant that is spreading rapidly in New York carries a mutation that does have the ability to reduce vaccine effectiveness.
#NewsUpdate #COVID19Vaccine #CoronavirusVaccine
https://t.co/g11PALqgUC","['coronavirus', 'NewsUpdate', 'COVID19Vaccine', 'CoronavirusVaccine']",2021-02-26 17:30:00
841,LorayMuhammad,BA from Queens College (CUNY) majors political science & sociology MSW from Stony Brook (SUNY)LMSW. Thirty years of social services experience.,The planet earth ,24,578,44673,1,@CEPIvaccines @AstraZeneca @UniofOxford @gavi @WHO @UNICEF The colonizer is using the #COVID19Vaccine to implement their #depopulationagenda! #Africa #TheCriterion #Angola #Algeria #WesternSahara #Malawi #Madagascar #Nigeria #SouthAfrica #Liberia #Burundi #BurkinaFaso #Cameroon #Chad #Djibouti #Ghana #Gambia #Gambon #Somalia #Eritrea,"['COVID19Vaccine', 'depopulationagenda', 'Africa', 'TheCriterion', 'Angola', 'Algeria', 'WesternSahara', 'Malawi', 'Madagascar', 'Nigeria', 'SouthAfrica', 'Liberia', 'Burundi', 'BurkinaFaso', 'Cameroon', 'Chad', 'Djibouti', 'Ghana', 'Gambia', 'Gambon', 'Somalia', 'Eritrea']",2021-02-26 17:29:46
842,WoodyBrewer2011,"I'm old school, don't talk politics, religion or money. 💕narrowboats, canals, cats, sailing, family history, mental health & well being... oh... & BAFC 💛🖤",,1261,516,6284,0,"Don't you just love JVT #jonathanvantam &amp; his sobering information &amp; request, that ""were not there yet"". 👏
He knows people are breaking the rules &amp; the slides show it...
BEHAVE OR WE WON'T GET OUT OF LOCKDOWN
#StayHomeSaveLives
#dontblowitnow #COVID19 #COVID19Vaccine","['jonathanvantam', 'StayHomeSaveLives', 'dontblowitnow', 'COVID19', 'COVID19Vaccine']",2021-02-26 17:29:32
843,NDITF,"Appreciates worthy debate. Despiser of spin.


 Stupidity: A willingness to remain ignorant.",The Kawarthas,1173,597,20330,0,"@mynamesnotgordy This is a completely wasted effort if they aren't hired by #LTC homes and certainly there will be no incentive for private institutions, or non-private for that matter, to ramp up staffing once the #COVID19Vaccine is administered. Shame obviously doesn't exist/work.","['LTC', 'COVID19Vaccine']",2021-02-26 17:29:30
844,CityOfFerndale,"Located in the northwest corner of Washington State, Ferndale is a vibrant community of 14,473 people located between Seattle, WA and Vancouver, B.C.","Ferndale, WA",408,1747,1137,4,"Thank you to our incredible neighbors, the Lummi Nation, for stepping up and offering vaccinations for all 650 Ferndale Schools faculty and staff this Saturday. Thank you for helping protect our community! #lummi #vaccinate #COVID19Vaccine @FerndaleSD_WA https://t.co/nhSN5onxWK","['lummi', 'vaccinate', 'COVID19Vaccine']",2021-02-26 17:28:50
845,adityaplanet,अहम् ब्रह्मास्मि,"Chandigarh, India",173,220,1387,0,"""India"" the only saviour. #Covaxin consignment delivered to #Cotedivoire #Africa ✌️
#COVID19 #COVID19Vaccine https://t.co/4L9MgFBnlF","['Covaxin', 'Cotedivoire', 'Africa', 'COVID19', 'COVID19Vaccine']",2021-02-26 17:28:41
846,PamCollier2,"From KS, moved to NC in 1990. Democrat. Retired clinical psychologist. Politics, activism, autoimmunity, metastatic breast cancer. #Resist","Durham, NC, USA",6795,6639,64565,0,@CMargaronis @raschatz @POTUS And anyone who thinks I'm going to shut up about the inequity doesn't know me. Sick and tired of gaslighting and not about to accept it from the Biden-Harris administration. #COVID19Vaccine,['COVID19Vaccine'],2021-02-26 17:28:28
847,holga_pics,"I'm passionate about black and white photography. Working with digital and film, I have recently been working with antique cameras using paper negatives.","Bristol, England",542,309,2117,0,"I got jabbed today. 💪 💉💉💉

#COVID19Vaccine #armhurts #vaccination","['COVID19Vaccine', 'armhurts', 'vaccination']",2021-02-26 17:28:17
848,mt_lake,"Mom, Educated, Retired NP, part-time blogger, photographer, Fashion & outdoors lover.. Poshmark ambassador follow me.. https://t.co/21ujBdXWrt","Charleston, WV",1202,139,192,0,"@KCHealth1 Still waiting for a call! HAVE serious medical issues. I also have first hand knowledge that individual’s who do not fall into current guidelines are receiving the vaccine! #COVID19Vaccine #NotFair . 😢😡 This is extremely disappointing!!  Pre-registered, in early February! https://t.co/Rpqu4hoxdB","['COVID19Vaccine', 'NotFair']",2021-02-26 17:28:13
849,pintooganguly,"Ph D in Org Chem - UDCT, Entrepreneur & Job Creator, Ex ICI India, Lupin, Sigma-Aldrich, Merck, Ex Dean & Assoc Prof GSFCU, Consultant Fine Chemical Industry","Bangalore,India",322,128,2755,0,"#COVID19 now that cases have started going up again, will the govt open up #COVID19Vaccine for the common people so that fatalities are brought down Or arewe waiting for a thali bajao ceremony If it is so will request Modiji to announce it asap Show must go on &amp;its an opportunity","['COVID19', 'COVID19Vaccine']",2021-02-26 17:27:58
850,zapher134,"Zap Theology: Science friendly, Pro-Choice, supports LGBT rights including marriage. The Kingdom of Heaven is Here! https://t.co/bMFCOtCu8G",USA!,3707,2578,221316,0,"@KBMorrison15 @CookCtyHealth Why is Cook County ignoring latest @CDCgov guidelines to vaccinate 1b+ Americans with Disabilities, behavioral &amp; developmental disorders? Too much trouble to change your software? #Autism #Covid19Vaccine #ADHDlife #VaccinEquity #VaccineEquity https://t.co/sddnc1hvY0","['Autism', 'Covid19Vaccine', 'ADHDlife', 'VaccinEquity', 'VaccineEquity']",2021-02-26 17:27:55
851,hepatoMD,"“My dad does bum stuff” -8 yr old daughter | Actually, liver stuff | #MedEd | Sprinkle of medical politics | RT does not something something","Toronto, Ontario",279,2367,8817,0,"Just heard of a person who has obtained appointments for #COVID19Vaccine at two Ontario PHUs that have begun community vaccination. Given no integrated provincial booking system, it was bound to happen. Hopefully, this won't be widespread or lead to wasted vaccine.",['COVID19Vaccine'],2021-02-26 17:27:55
852,SenatorBrouk,"State Senator proudly representing New York’s 55th District. 
☎️ (585) 223-1800 ✉️ brouk@nysenate.gov
RTs do not = endorsements. 
Pronounced: Sah-mra Br-uuk",,567,632,121,0,"Our district office staff, including Justin pictured here, are reaching out to Rochester residents to encourage them to register for a #COVID19 vaccine appointment at the new Kodak site. 

Please visit https://t.co/F1SJawF1QN or call 1-833-697-4829 to see if you are eligible! https://t.co/oR0TK63TuC",['COVID19'],2021-02-26 17:27:44
853,GaryBeighton7,"""You can Choose to listen to politicians,
But when nature talks you have NO CHOICE!  Nature's Outrider. Also
1st edition Sports book dealer.
 Precognition Pro.","East, England",37,605,25742,0,"#Vantam Bosses the #DailyBriefing #COVID19 #COVID19Vaccine again on a Friday. Clear, Concise and easy explanations for complex data. 👍🌍🇬🇧","['Vantam', 'DailyBriefing', 'COVID19', 'COVID19Vaccine']",2021-02-26 17:27:20
854,MAHPHealth,Massachusetts Association of Health Plans (MAHP) - The Nation's Best Health Plans Working for Affordable Care.,"Boston, MA",846,1851,7053,0,Proud of MAHP member plan @CCA_Mass for launching their in-home #COVID19Vaccine program for their homebound members. https://t.co/kmTXLhtF0I,['COVID19Vaccine'],2021-02-26 17:27:10
855,Julie75915372,,,3,0,11,0,Why am I hearing that a 26 yr old policeman has had the vaccine with no underlying health conditions and his girlfriend because she lives with him and I work in an SEN school and I'm 47 and I'm not a priority. I thought it was just being done on age #coronavirus #COVID19Vaccine,"['coronavirus', 'COVID19Vaccine']",2021-02-26 17:27:10
856,Stag_RosePPG,PPG - Group that supports both patients and staff to ensure the best health care,"Rotherham, England",1738,491,4755,0,We are asking everyone to Watch &amp; Share the wonderful @DrAmirKhanGP explain how the #COVID19 vaccine is suitable for people from ALL FAITH groups. We need #CommunityImmunity for us to move forward. Have the #COVID19Vaccine 💉❤️ #SaveLives #StayHome #HandsFaceSpace #StayConnected https://t.co/Wy8LBfT8Xo,"['COVID19', 'CommunityImmunity', 'COVID19Vaccine', 'SaveLives', 'StayHome', 'HandsFaceSpace', 'StayConnected']",2021-02-26 17:26:55
857,zwisniewski,"Husband, father, friend, geek, gamer, former blogger, public servant, bourbon drinker, baseball fan, & all-around great guy. My opinions are my own. He/Him.","Cudahy, WI",471,258,5196,0,"NUMBER 2 is done!
#IGotMine #COVID19Vaccine https://t.co/ZS3keXRTfC","['IGotMine', 'COVID19Vaccine']",2021-02-26 17:26:48
858,KarishmaCxxx,✨A dream is a wish your heart makes✨ Ultimate Disney fan & Swiftie 💗💫💗,🌴🦋🌈🦄💐✨🎨💗,1178,1163,7752,2,"I don’t agree with the @MattHancock at all! If it’s all about age, what was the point of vaccinating the vulnerable? It’s hypocritical that #asthmatics are being ignored! #asthma #AsthmaticsAtRisk #COVID19 #COVIDVaccine #COVID19Vaccine https://t.co/fu6fdTB84Z","['asthmatics', 'asthma', 'AsthmaticsAtRisk', 'COVID19', 'COVIDVaccine', 'COVID19Vaccine']",2021-02-26 17:26:27
859,MattHall1974,"Husband, Father of 3 amazing boys, Yorkshireman exiled to SW London. “I’ll say what I like and you’ll like what I say”. Not all tweets should be taken seriously","Richmond, Surrey",585,279,7000,0,"@SkyNews People bemoaning Govt for not ""following the science"" now doing the very same thing for doing so. #COVID19Vaccine",['COVID19Vaccine'],2021-02-26 17:26:26
860,MatsonForHouse,"Former State Representative for IA's HD 38; passionate about public policy, civic engagement & building community; trying to make the world a better place.","Ankeny, IA",868,2162,3078,0,"Thank you, Mr. President! #COVID19Vaccine https://t.co/qtNPsn8Yul",['COVID19Vaccine'],2021-02-26 17:26:21
861,phoenix3965,queer 🏳️‍🌈veteran 🇺🇸USAPL powerlifter. mom. Martian on ChemCam and SuperCam Engineering Operations for Curiosity and Perseverance. Views are my own.,"Los Alamos, NM",616,381,1892,0,I got my #firstdose of the #Moderna #COVID19vaccine https://t.co/RzfBBo7pNm,"['firstdose', 'Moderna', 'COVID19vaccine']",2021-02-26 17:26:09
862,carrie_byington,"EVP – University of California Health @UofCalifornia + pediatric ID MD @UCSF, translational scientist, systems thinker--battling COVID-19
Oakland, CA","Oakland, CA",911,2522,6523,0,.@US_FDA VRBPAC meeting today discussing safety and efficacy of the @JNJNews #COVID19Vaccine in consideration of an EUA. https://t.co/E4ZxCP2B7L,['COVID19Vaccine'],2021-02-26 17:26:03
863,lilachanelxo,BLM ☀️she/they. looking so Seattle 🌦 but feel so LA 🌴,dreamworld ,4776,1776,50738,0,2nd dose. I am glad that I was able to get the vaccine. #PfizerVaccine #COVID19Vaccine https://t.co/LDL8zzNWXP,"['PfizerVaccine', 'COVID19Vaccine']",2021-02-26 17:25:48
